"Number" "Date" "Time" "Interface" "Origin" "Type" "Action" "Service" "Source Port" "Source" "Destination" "Protocol" "Rule" "Rule Name" "Current Rule Number" "User" "Information" "Product" "Source Machine Name" "Source User Name"
"43850" "29May2023" "14:58:26" "eth1" "fwnetels" "Log" "Accept" "https" "57708" "192.100.100.190" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"43920" "29May2023" "14:58:27" "eth1" "fwnetels" "Log" "Accept" "https" "57730" "192.100.100.190" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"81589" "29May2023" "15:39:35" "eth3" "fwnetels" "Log" "Accept" "domain-udp" "52060" "SRV_NS" "216.123.224.131" "udp" "16" "NS->Outside (DNS)" "16-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"81722" "29May2023" "15:39:45" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "52990" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"81723" "29May2023" "15:39:45" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "51401" "SRV_Beta" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"81821" "29May2023" "15:39:52" "eth1" "fwnetels" "Log" "Accept" "domain-udp" "50855" "SRV_Demeter" "205.251.192.74" "udp" "26" "DNS_Server->Outside (Dns)" "26-Policy-2022-06-21" "" "service_id: domain-udp" "Security Gateway/Management" "" ""
"125008" "29May2023" "16:34:32" "eth1" "fwnetels" "Log" "Accept" "https" "59169" "192.100.100.190" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"599523" "30May2023" "9:05:53" "eth1" "fwnetels" "Log" "Accept" "https" "58477" "192.100.100.83" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"649269" "30May2023" "9:52:51" "eth1" "fwnetels" "Log" "Accept" "https" "59033" "192.100.100.83" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
"660655" "30May2023" "10:01:47" "eth1" "fwnetels" "Log" "Accept" "https" "50081" "192.100.100.105" "151.101.137.175" "tcp" "30" "Secure Web -> Any" "30-Policy-2022-06-21" "" "service_id: https" "Security Gateway/Management" "" ""
